"Mazentop Slideshow","Mazentop Slideshow"
"Manage Slideshows","Manage Slideshows"
"Add New Slideshow","Add New Slideshow"
"Slideshows","Slideshows"
"Slideshow Information","Slideshow Information"
"Slideshow Title","Slideshow Title"
"Banners","Banners"
"Slideshow Options","Slideshow Options"
"Animate In","Animate In"
"Animate Out","Animate Out"
"The CSS3 animation type applied when the background animates into view","The CSS3 animation type applied when the background animates into view"
"Start Slide","Start Slide"
"Autoplay","Autoplay"
"Pause on mouse over","Pause on mouse over"
"Autoplay Speed","Autoplay Speed"
"Loop","Loop"
"Next & Prev navigation","Next & Prev navigation"
"Paging navigation","Paging navigation"
"Show Thumbnails","Show Thumbnails"
"Lazy Load","Lazy Load"